,Content ID,Type,Datetime,ContentType,Category,Sentiment,Score,Is_Top_5_Category
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2020-11-07 09:43:50,photo,STUDYING,negative,0,False
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,2021-06-17 12:22:51,photo,STUDYING,negative,10,False
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2021-04-18 05:13:58,photo,STUDYING,negative,15,False
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2021-01-06 19:13:01,photo,STUDYING,negative,0,False
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-08-23 12:25:58,photo,STUDYING,positive,30,False
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-12-07 06:27:54,photo,STUDYING,neutral,35,False
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,2021-04-11 17:35:49,photo,STUDYING,positive,70,False
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2021-01-27 08:32:09,photo,STUDYING,negative,5,False
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2021-04-01 22:54:23,photo,STUDYING,neutral,35,False
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,love,2020-08-04 05:05:02,photo,STUDYING,positive,65,False
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2020-11-07 08:36:27,photo,STUDYING,neutral,20,False
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-11-02 06:28:53,photo,STUDYING,negative,15,False
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-11-01 01:16:21,photo,STUDYING,positive,30,False
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2020-10-07 18:39:08,photo,STUDYING,negative,5,False
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-09-03 18:51:38,photo,STUDYING,negative,15,False
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2021-02-24 05:09:23,photo,STUDYING,positive,75,False
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-09-23 06:24:11,photo,STUDYING,neutral,35,False
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2021-02-24 11:37:57,photo,STUDYING,neutral,20,False
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2021-05-22 19:44:23,photo,STUDYING,positive,30,False
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,2021-01-31 16:03:56,photo,STUDYING,positive,45,False
20,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-11-20 17:26:23,photo,STUDYING,neutral,35,False
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,2021-04-11 20:47:13,photo,STUDYING,negative,12,False
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,like,2021-06-13 16:46:06,photo,STUDYING,positive,50,False
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,2021-04-11 14:29:59,photo,STUDYING,positive,60,False
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,2021-03-02 19:21:19,photo,STUDYING,negative,12,False
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2020-06-27 18:44:39,photo,STUDYING,negative,5,False
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2021-05-09 21:05:17,photo,STUDYING,negative,5,False
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,2020-08-04 23:58:42,photo,STUDYING,positive,70,False
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2020-08-28 03:57:20,photo,STUDYING,positive,75,False
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,2020-08-25 08:21:56,photo,STUDYING,positive,45,False
30,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2021-04-20 23:48:12,photo,STUDYING,negative,15,False
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2021-03-07 12:40:11,photo,STUDYING,positive,30,False
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2021-05-24 03:21:13,photo,STUDYING,neutral,20,False
33,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2021-01-24 11:03:43,photo,STUDYING,positive,75,False
34,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2021-04-09 02:46:20,photo,STUDYING,negative,0,False
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2021-02-02 03:43:43,photo,STUDYING,positive,75,False
36,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2021-02-04 03:06:12,photo,STUDYING,positive,30,False
37,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,2020-11-09 02:49:59,photo,STUDYING,negative,10,False
38,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-09-29 16:00:27,photo,STUDYING,negative,15,False
39,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,2020-11-29 21:33:04,photo,STUDYING,negative,10,False
40,97522e57-d9ab-4bd6-97bf-c24d952602d2,want,2021-02-13 07:54:01,photo,STUDYING,positive,70,False
41,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-07-14 05:28:44,photo,STUDYING,positive,30,False
42,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2020-08-23 10:30:37,photo,STUDYING,neutral,20,False
43,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,2021-05-10 09:27:42,photo,STUDYING,negative,12,False
44,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2021-03-15 03:59:11,photo,STUDYING,negative,5,False
45,9f737e0a-3cdd-4d29-9d24-753f4e3be810,dislike,2020-06-25 17:01:58,photo,HEALTHY EATING,negative,10,True
46,9f737e0a-3cdd-4d29-9d24-753f4e3be810,intrigued,2020-09-13 00:11:50,photo,HEALTHY EATING,positive,45,True
47,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,2020-08-20 18:17:06,photo,HEALTHY EATING,neutral,35,True
